"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"0313216","めキャベツ種子",""
"0313217","レタス種子",""
"0313299","その他の葉菜類種子",""
"03133","果菜類種子",""
"0313301","オクラ種子",""
"0313302","かぼちゃ種子",""
"0313303","きゅうり種子",""
"0313304","しろうり種子",""
"0313305","すいか種子",""
"0313306","スイートコーン種子",""
"0313307","とうがらし種子（ピーマン種子を含む。）",""
"0313308","トマト種子",""
"0313311","なす種子",""
"0313312","メロン種子",""
"0313313","ゆうがお種子",""
"0313399","その他の果菜類種子",""
"03134","まめ類種子",""
"031341","いんげんまめ種子",""
"031342","えだまめ種子",""
"031343","えんどう種子",""
"031344","そらまめ種子",""
"031349","その他のまめ類種子",""
"03139","その他の野菜種子",""
"0314","花きの種子",""
"0314001","アキメネス（はなぎりそう）種子",""
"0314002","アゲラタム種子",""
"0314003","アスター（えぞぎく）種子",""
"再掲","アスパラガス種子（0313201）","313201
"
"0314005","アネモネ種子",""
"0314006","アマランサス（はげいとう）種子",""
"0314007","アメリカほうせんか種子",""
"0314008","アリッサム種子",""
"0314011","アルメリア種子",""
"0314012","あさがお種子",""
"0314013","あざみ種子",""
"0314014","ウォールフラワー種子",""
"0314015","エキザカム種子",""
"0314016","エスコルチア（はなびしそう）種子",""
"0314017","おじぎそう種子",""
"0314018","おしろいばな種子",""
"0314021","おだまき種子",""
"0314022","カーネーション種子",""
"0314023","カカリア種子",""
"0314024","カランコエ種子",""
"0314025","カルセオラリア種子",""
"0314026","カンパニュラ種子",""
"0314027","ガーベラ種子",""
"0314028","ガザニア種子",""
"0314031","かいざいく種子",""
"0314032","かすみそう種子",""
"0314033","ききょう種子",""
"0314034","きく（クッションマム）種子",""
"0314035","きんぎょそう種子",""
"0314036","きんせんか種子",""
"0314037","きんれんか種子",""
"0314038","クリサンセマム種子",""
"0314041","クレオメ種子",""
"0314042","グロキシニア種子",""
"0314043","くろたねそう種子",""
"0314044","くんしらん種子",""
"0314045","ゲスネリア種子",""
"0314046","けいとう種子",""
"0314047","ゴード種子",""
"0314048","コキア（ほうきぐさ）種子",""
"0314051","コスモス種子",""
"0314052","コリウス種子",""
"0314053","ゴデチア種子",""
"0314054","サポナリア種子",""
"0314055","サルビア種子",""
"0314056","シクラメン種子",""
"0314057","シザンサス種子",""
"0314058","シネラリア（サイネリア）種子",""
"0314061","シャスターデージー種子",""
"0314062","ジキタリス種子",""
"0314063","スイートピー種子",""
"0314064","スカビオサ（まつむしそう）種子",""
"0314065","スターチス種子",""
"0314066","ストック種子",""
"0314067","セントポーリア種子",""
"0314068","ゼラニウム種子",""
"0314071","せんにちこう種子",""
"0314072","ダイアンサス種子",""
"0314073","ダスティーミラー種子",""
"0314074","ダリア種子",""
"0314075","チトニア種子",""
"0314076","ちどりそう（ラークスパー）種子",""
"0314077","デージー（ひなぎく）種子",""
"0314078","デルフィニュウム種子",""
"0314081","トルコぎきょう種子",""
"0314082","トレニア種子",""
"0314083","とうがらし種子",""
"0314084","にちにちそう種子",""
"0314085","バーベナ種子",""
"0314086","パンジー種子",""
"0314087","はなたばこ種子",""
"0314088","はなな種子",""
"0314091","はぼたん種子",""
"0314092","ひまわり種子",""
"0314093","ひゃくにちそう種子",""
"0314094","フリージア種子",""
"0314095","フロックス種子",""
"0314096","プリムラ種子",""
"0314097","ブルーレースフラワー種子",""
"0314098","ブロワリア種子",""
"0314101","ヘリオプシス種子",""
"0314102","ベゴニア種子",""
"0314103","ペチュニア種子",""
"0314104","ベニジューム種子",""
"0314105","べにばな種子",""
"0314106","ホリホック種子",""
"0314107","ポピー種子",""
"0314108","ほうせんか種子",""
"0314111","ほおずき種子",""
"0314112","マトリカリア種子",""
"0314113","マリーゴールド種子",""
"0314114","まつばぼたん種子",""
"0314115","ミムラス種子",""
"0314116","モルセラ種子",""
"0314117","やぐるまそう種子",""
"0314118","ユーホルビア種子",""
"0314121","ゆうぎりそう種子",""
"0314122","ゆり種子",""
"0314123","よるがお種子",""
"0314124","ラナンキュラス種子",""
"0314125","リアトリス種子",""
"0314126","リナリア種子",""
